resourceID,eventDate,scientificName,Feeding,Latitude,Longitude,Area,County,State,institutionID
602201691,2012-04-14,LarusArgentatus,Frog,33.09722,-115.75273,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,2015-02-19,LarusArgentatus,Frog,33.09722,-115.75273,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,2000-02-20,LarusArgentatus,Frog,33.09722,-115.75273,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,2012-02-03,LarusArgentatus,Frog,33.09722,-115.75273,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,2012-04-14,LarusArgentatus,Frog,33.09722,-115.75273,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,2012-04-18,LarusArgentatus,Frog,33.09722,-115.75273,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,2012-09-22,LarusArgentatus,Frog,33.09722,-115.75273,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,2014-05-04,LarusArgentatus,Frog,33.09722,-115.75273,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,2008-12-28,LarusArgentatus,Frog,33.09722,-115.75273,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,2011-09-04,LarusArgentatus,Frog,33.09722,-115.75273,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,2012-10-18,LarusArgentatus,Frog,33.09722,-115.75273,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,2011-10-09,LarusArgentatus,Frog,33.09722,-115.75273,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,2012-11-24,LarusArgentatus,Frog,33.09722,-115.75273,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,2011-10-09,LarusArgentatus,Frog,33.09722,-115.75273,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,2015-01-17,LarusArgentatus,Frog,33.09722,-115.75273,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,2014-01-11,LarusArgentatus,Frog,33.09722,-115.75273,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,2015-04-04,LarusArgentatus,Frog,33.09722,-115.75273,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,2014-03-15,LarusArgentatus,Frog,33.09722,-115.75273,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,2013-03-01,LarusArgentatus,Frog,33.09722,-115.75273,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,2014-05-02,LarusArgentatus,Frog,33.09722,-115.75273,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,2015-02-07,LarusArgentatus,Frog,33.09722,-115.75273,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,2014-03-15,LarusArgentatus,Frog,33.09722,-115.75273,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,2014-03-15,LarusArgentatus,Frog,33.09722,-115.75273,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,2015-03-06,LarusArgentatus,Frog,33.09722,-115.75273,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,2013-04-22,LarusArgentatus,Frog,33.09722,-115.75273,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,2012-04-14,LarusArgentatus,Frog,33.09722,-115.75273,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,2012-04-18,LarusArgentatus,Frog,33.09722,-115.75273,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,2014-02-20,LarusArgentatus,Frog,33.09722,-115.75273,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,2015-12-08,LarusArgentatus,Frog,33.09722,-115.75273,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,2014-04-29,LarusArgentatus,Frog,33.09722,-115.75273,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,2014-04-29,LarusArgentatus,Frog,33.09722,-115.75273,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,2015-04-11,LarusArgentatus,Frog,33.09722,-115.75273,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,2012-04-18,LarusArgentatus,Frog,33.09722,-115.75273,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,2012-04-14,LarusArgentatus,Frog,33.09722,-115.75273,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,2014-11-24,LarusArgentatus,Frog,33.09722,-115.75273,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,2009-11-08,LarusArgentatus,Frog,33.09722,-115.75273,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,2009-11-08,LarusArgentatus,Frog,33.09722,-115.75273,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,2010-02-24,LarusArgentatus,Frog,33.09722,-115.75273,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,2015-03-19,LarusArgentatus,Frog,33.09722,-115.75273,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,2011-01-21,LarusArgentatus,Frog,33.09722,-115.75273,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,2011-11-07,LarusArgentatus,Frog,33.09722,-115.75273,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,2011-04-20,LarusArgentatus,Frog,33.09722,-115.75273,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,2011-04-20,LarusArgentatus,Frog,33.09722,-115.75273,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
